mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
11.445,2.425,7.025,15.744,0.03,0.024,7546.0,2915.0,1.0
12.689,2.965,7.591,18.06,0.037,0.03,7446.0,2946.0,1.0
0.163,0.94,-1.601,1.879,0.011,0.016,7231.0,2871.0,1.0
0.06,0.925,-1.689,1.794,0.01,0.015,8622.0,3548.0,1.0
0.458,0.989,-1.365,2.252,0.012,0.014,6324.0,3217.0,1.0
0.275,0.971,-1.701,1.961,0.011,0.016,8190.0,2571.0,1.0
-0.43,0.933,-2.182,1.379,0.012,0.013,5998.0,3333.0,1.0
-0.19,0.919,-1.937,1.519,0.011,0.015,7595.0,2691.0,1.0
0.227,0.947,-1.571,1.976,0.011,0.016,6861.0,2876.0,1.0
-0.442,0.941,-2.155,1.337,0.012,0.013,6046.0,2859.0,1.0
0.002,0.893,-1.625,1.674,0.011,0.014,6458.0,3516.0,1.0
-0.182,0.914,-1.852,1.576,0.01,0.016,8280.0,2894.0,1.0
0.44,0.979,-1.464,2.234,0.013,0.014,5870.0,3331.0,1.0
0.205,0.926,-1.451,2.028,0.01,0.015,9045.0,3187.0,1.0
0.045,0.924,-1.776,1.742,0.011,0.015,7381.0,3192.0,1.0
-0.052,0.936,-1.739,1.719,0.011,0.017,7331.0,3026.0,1.0
0.012,0.921,-1.781,1.737,0.01,0.016,7872.0,3142.0,1.0
0.147,0.925,-1.581,1.877,0.01,0.018,8614.0,2745.0,1.0
-0.167,0.922,-1.918,1.583,0.01,0.016,9327.0,3161.0,1.0
-0.006,0.898,-1.769,1.655,0.01,0.016,7368.0,2751.0,1.0
-0.168,0.908,-1.878,1.507,0.01,0.015,7898.0,3289.0,1.0
-0.503,0.962,-2.272,1.377,0.013,0.014,5857.0,3250.0,1.0
0.302,0.954,-1.538,1.991,0.012,0.017,6726.0,3154.0,1.0
-0.534,0.947,-2.219,1.333,0.013,0.013,5193.0,2997.0,1.0
-0.005,0.918,-1.746,1.716,0.01,0.014,8382.0,3305.0,1.0
-0.445,0.977,-2.359,1.327,0.012,0.014,6133.0,3057.0,1.0
-0.161,0.921,-1.804,1.644,0.011,0.016,7077.0,2896.0,1.0
0.092,0.916,-1.631,1.799,0.01,0.015,7942.0,2933.0,1.0
0.132,0.947,-1.605,1.938,0.011,0.017,8062.0,2991.0,1.0
0.159,0.897,-1.627,1.764,0.01,0.015,7640.0,3222.0,1.0
0.218,0.947,-1.62,1.86,0.011,0.014,7659.0,3426.0,1.0
0.42,0.957,-1.318,2.237,0.012,0.014,6225.0,3434.0,1.0
-0.243,0.901,-1.854,1.539,0.011,0.016,6452.0,2623.0,1.0
0.317,0.954,-1.464,2.078,0.011,0.016,7499.0,2763.0,1.0
0.142,0.923,-1.62,1.849,0.011,0.015,7710.0,3416.0,1.0
0.068,0.902,-1.694,1.744,0.01,0.015,8171.0,2852.0,1.0
0.471,0.967,-1.482,2.088,0.013,0.014,5268.0,3456.0,1.0
0.264,0.925,-1.475,2.007,0.011,0.016,6649.0,3061.0,1.0
-0.415,0.971,-2.267,1.415,0.012,0.014,6122.0,3109.0,1.0
-0.197,0.928,-1.968,1.581,0.011,0.015,7496.0,2978.0,1.0
0.237,0.93,-1.573,1.953,0.011,0.015,6805.0,3010.0,1.0
-0.407,0.946,-2.222,1.361,0.011,0.013,7216.0,3595.0,1.0
-0.001,0.921,-1.725,1.786,0.01,0.016,7848.0,2914.0,1.0
-0.187,0.914,-1.869,1.544,0.011,0.014,6833.0,2965.0,1.0
0.442,0.964,-1.318,2.224,0.012,0.014,6719.0,3067.0,1.0
