home_team,away_team,n_sims,over_under,over_under_vegas_odds,home_spread,home_spread_vegas_odds,home_ml_vegas_odds,mean_total_pts,mean_home_pts,mean_away_pts,prob_over,prob_home_cover,prob_home_ml
CIN,PIT,25000,46.0,-110,-3.0,-110,-160,47.92404,22.7098,25.21424,0.50332,0.32208,0.40948
MIN,ARZ,25000,45.0,-110,-3.5,-105,-170,42.88348,23.7346,19.14888,0.38524,0.5218,0.62524
ATL,LAC,25000,47.0,-110,1.0,-105,100,40.15676,17.79376,22.363,0.24572,0.35864,0.32464
NYJ,SEA,25000,42.0,-110,-1.5,-110,-125,42.94344,20.79704,22.1464,0.47564,0.4058,0.43628
WAS,TEN,25000,44.5,-110,-6.0,-105,260,50.2898,29.66724,20.62256,0.63184,0.55596,0.72224
JAX,HST,25000,45.0,-110,3.5,-115,143,47.85404,21.23504,26.619,0.53784,0.44864,0.32788
NE,IND,25000,42.5,-110,2.5,-110,118,40.29256,17.896,22.39656,0.39388,0.4354,0.32928
NO,LAR,25000,49.0,-110,2.5,-105,125,48.03124,24.96456,23.06668,0.41948,0.62976,0.53764
CAR,TB,25000,46.5,-110,6.5,-110,235,54.65508,20.20612,34.44896,0.67672,0.31608,0.16464
BLT,PHI,25000,51.0,-110,-3.0,-105,-165,50.52768,25.67564,24.85204,0.43536,0.41608,0.50268
BUF,SF,25000,44.5,-110,-6.5,-110,-285,49.64708,29.0036,20.64348,0.61256,0.53836,0.70944
