home_team,away_team,n_sims,over_under,home_spread,mean_total_pts,mean_home_pts,mean_away_pts,prob_over,prob_home_cover,prob_home_ml
MIA,ARZ,25000,46.0,-4.0,35.88684,13.06216,22.82468,0.1656,0.09528,0.17636
CIN,PHI,25000,47.5,-2.5,46.6156,22.23912,24.37648,0.4342,0.36364,0.42432
TB,ATL,25000,45.5,2.5,53.56548,30.08876,23.47672,0.67568,0.72812,0.6528
NE,NYJ,25000,41.0,7.0,36.40272,14.00412,22.3986,0.29276,0.4474,0.20344
JAX,GB,25000,49.5,4.0,53.40656,20.0334,33.37316,0.5618,0.26784,0.17996
CLV,BLT,25000,45.0,8.5,47.3532,17.12544,30.22776,0.51064,0.38416,0.16068
DET,TEN,25000,44.5,-11.5,47.25964,29.99184,17.2678,0.53236,0.50908,0.8094
HST,IND,25000,45.5,-5.0,46.52036,23.89552,22.62484,0.49172,0.37104,0.523
SEA,BUF,25000,45.0,3.0,53.57864,24.63864,28.94,0.67724,0.45944,0.3774
LAC,NO,25000,41.0,-7.0,38.97816,21.17472,17.80344,0.37812,0.35016,0.59952
WAS,CHI,25000,45.5,0.0,45.90916,24.5938,21.31536,0.47184,0.57724,0.57724
LV,KC,25000,41.0,9.5,44.7452,16.02536,28.71984,0.55456,0.42912,0.1596
DEN,CAR,25000,41.0,-11.0,42.65628,29.75844,12.89784,0.49112,0.63412,0.90228
SF,DAL,25000,47.0,-4.5,52.25224,29.9536,22.29864,0.58924,0.57132,0.67792
