date,week,home_team,home_pts,away_team,away_pts,tie
2024-09-05,1,KC,27.0,BLT,20.0,False
2024-09-06,1,PHI,34.0,GB,29.0,False
2024-09-08,1,ATL,10.0,PIT,18.0,False
2024-09-08,1,BUF,34.0,ARZ,28.0,False
2024-09-08,1,NO,47.0,CAR,10.0,False
2024-09-08,1,CHI,24.0,TEN,17.0,False
2024-09-08,1,CIN,10.0,NE,16.0,False
2024-09-08,1,IND,27.0,HST,29.0,False
2024-09-08,1,MIA,20.0,JAX,17.0,False
2024-09-08,1,NYG,6.0,MIN,28.0,False
2024-09-08,1,SEA,26.0,DEN,20.0,False
2024-09-08,1,LAC,22.0,LV,10.0,False
2024-09-08,1,CLV,17.0,DAL,33.0,False
2024-09-08,1,TB,37.0,WAS,20.0,False
2024-09-08,1,DET,26.0,LAR,20.0,False
2024-09-09,1,SF,32.0,NYJ,19.0,False
2024-09-12,2,MIA,10.0,BUF,31.0,False
2024-09-15,2,CAR,3.0,LAC,26.0,False
2024-09-15,2,JAX,13.0,CLV,18.0,False
2024-09-15,2,GB,16.0,IND,10.0,False
2024-09-15,2,DAL,19.0,NO,44.0,False
2024-09-15,2,DET,16.0,TB,20.0,False
2024-09-15,2,MIN,23.0,SF,17.0,False
2024-09-15,2,NE,20.0,SEA,23.0,False
2024-09-15,2,WAS,21.0,NYG,18.0,False
2024-09-15,2,TEN,17.0,NYJ,24.0,False
2024-09-15,2,BLT,23.0,LV,26.0,False
2024-09-15,2,ARZ,41.0,LAR,10.0,False
2024-09-15,2,KC,26.0,CIN,25.0,False
2024-09-15,2,DEN,6.0,PIT,13.0,False
2024-09-15,2,HST,19.0,CHI,13.0,False
2024-09-16,2,PHI,21.0,ATL,22.0,False
2024-09-19,3,NYJ,24.0,NE,3.0,False
2024-09-22,3,IND,21.0,CHI,16.0,False
2024-09-22,3,CLV,15.0,NYG,21.0,False
2024-09-22,3,TB,7.0,DEN,26.0,False
2024-09-22,3,TEN,14.0,GB,30.0,False
2024-09-22,3,MIN,34.0,HST,7.0,False
2024-09-22,3,NO,12.0,PHI,15.0,False
2024-09-22,3,PIT,20.0,LAC,10.0,False
2024-09-22,3,LV,22.0,CAR,36.0,False
2024-09-22,3,SEA,24.0,MIA,3.0,False
2024-09-22,3,ARZ,13.0,DET,20.0,False
2024-09-22,3,DAL,25.0,BLT,28.0,False
2024-09-22,3,LAR,27.0,SF,24.0,False
2024-09-22,3,ATL,17.0,KC,22.0,False
2024-09-23,3,BUF,47.0,JAX,10.0,False
2024-09-23,3,CIN,33.0,WAS,38.0,False
2024-09-26,4,NYG,15.0,DAL,20.0,False
2024-09-29,4,ATL,26.0,NO,24.0,False
2024-09-29,4,CAR,24.0,CIN,34.0,False
2024-09-29,4,CHI,24.0,LAR,18.0,False
2024-09-29,4,IND,27.0,PIT,24.0,False
2024-09-29,4,NYJ,9.0,DEN,10.0,False
2024-09-29,4,GB,29.0,MIN,31.0,False
2024-09-29,4,HST,24.0,JAX,20.0,False
2024-09-29,4,TB,33.0,PHI,16.0,False
2024-09-29,4,ARZ,14.0,WAS,42.0,False
2024-09-29,4,SF,30.0,NE,13.0,False
