home_team,away_team,n_sims,over_under,over_under_vegas_odds,home_spread,home_spread_vegas_odds,mean_total_pts,mean_home_pts,mean_away_pts,prob_over,prob_home_cover,prob_home_ml
ATL,DAL,25000,51.5,-110,-3.0,-125,50.14236,27.63716,22.5052,0.4206,0.5374,0.62572
BLT,DEN,25000,46.5,-110,-9.0,-110,45.34488,22.49028,22.8546,0.43108,0.21444,0.4706
NYG,WAS,25000,44.0,-110,4.0,-110,41.06412,16.4148,24.64932,0.35516,0.34732,0.22596
BUF,MIA,25000,49.5,-110,-6.0,-110,39.5246,26.92576,12.59884,0.19416,0.73396,0.88508
CIN,LV,25000,45.0,-110,-7.5,-110,51.0252,28.66712,22.35808,0.61412,0.45452,0.65064
CLV,LAC,25000,42.5,-110,1.5,-110,32.49344,12.46052,20.03292,0.15712,0.27032,0.2052
TEN,NE,25000,38.5,-110,-3.5,-105,41.06004,22.51724,18.5428,0.54908,0.50304,0.6096
CAR,NO,25000,43.5,-110,7.0,-105,50.3576,19.59892,30.75868,0.65948,0.37912,0.19916
ARZ,CHI,25000,44.5,-110,-2.0,-110,42.91424,20.74876,22.16548,0.41032,0.3662,0.43248
PHI,JAX,25000,46.0,-110,-7.0,-115,49.16184,30.12676,19.03508,0.53196,0.58108,0.77476
GB,DET,25000,48.0,-110,2.5,100,49.65284,22.6826,26.97024,0.49144,0.45296,0.36392
SEA,LAR,25000,48.5,-110,1.5,-105,48.98156,25.72388,23.25768,0.47816,0.612,0.55124
