date,week,home_team,home_pts,away_team,away_pts,tie
2020-09-10,1,KC,34.0,HST,20.0,False
2020-09-13,1,ATL,25.0,SEA,38.0,False
2020-09-13,1,BUF,27.0,NYJ,17.0,False
2020-09-13,1,CAR,30.0,LV,34.0,False
2020-09-13,1,DET,23.0,CHI,27.0,False
2020-09-13,1,BLT,38.0,CLV,6.0,False
2020-09-13,1,JAX,27.0,IND,20.0,False
2020-09-13,1,MIN,34.0,GB,43.0,False
2020-09-13,1,NE,21.0,MIA,11.0,False
2020-09-13,1,WAS,27.0,PHI,17.0,False
2020-09-13,1,CIN,13.0,LAC,16.0,False
2020-09-13,1,SF,20.0,ARZ,24.0,False
2020-09-13,1,NO,34.0,TB,23.0,False
2020-09-13,1,LAR,20.0,DAL,17.0,False
2020-09-14,1,NYG,16.0,PIT,26.0,False
2020-09-14,1,DEN,14.0,TEN,16.0,False
2020-09-17,2,CLV,35.0,CIN,30.0,False
2020-09-20,2,DAL,40.0,ATL,39.0,False
2020-09-20,2,MIA,28.0,BUF,31.0,False
2020-09-20,2,TB,31.0,CAR,17.0,False
2020-09-20,2,CHI,17.0,NYG,13.0,False
2020-09-20,2,IND,28.0,MIN,11.0,False
2020-09-20,2,PIT,26.0,DEN,21.0,False
2020-09-20,2,GB,42.0,DET,21.0,False
2020-09-20,2,TEN,33.0,JAX,30.0,False
2020-09-20,2,NYJ,13.0,SF,31.0,False
2020-09-20,2,PHI,19.0,LAR,37.0,False
2020-09-20,2,ARZ,30.0,WAS,15.0,False
2020-09-20,2,HST,16.0,BLT,33.0,False
2020-09-20,2,LAC,20.0,KC,23.0,False
2020-09-20,2,SEA,35.0,NE,30.0,False
2020-09-21,2,LV,34.0,NO,24.0,False
2020-09-24,3,JAX,13.0,MIA,31.0,False
2020-09-27,3,ATL,26.0,CHI,30.0,False
2020-09-27,3,BUF,35.0,LAR,32.0,False
2020-09-27,3,PHI,23.0,CIN,23.0,True
2020-09-27,3,CLV,34.0,WAS,20.0,False
2020-09-27,3,PIT,28.0,HST,21.0,False
2020-09-27,3,MIN,30.0,TEN,31.0,False
2020-09-27,3,NE,36.0,LV,20.0,False
2020-09-27,3,NYG,9.0,SF,36.0,False
2020-09-27,3,LAC,16.0,CAR,21.0,False
2020-09-27,3,IND,36.0,NYJ,7.0,False
2020-09-27,3,ARZ,23.0,DET,26.0,False
2020-09-27,3,SEA,38.0,DAL,31.0,False
2020-09-27,3,DEN,10.0,TB,28.0,False
2020-09-27,3,NO,30.0,GB,37.0,False
2020-09-28,3,BLT,20.0,KC,34.0,False
2020-10-01,4,NYJ,28.0,DEN,37.0,False
2020-10-04,4,CAR,31.0,ARZ,21.0,False
2020-10-04,4,CHI,11.0,IND,19.0,False
2020-10-04,4,CIN,33.0,JAX,25.0,False
2020-10-04,4,DAL,38.0,CLV,49.0,False
2020-10-04,4,DET,29.0,NO,35.0,False
2020-10-04,4,HST,23.0,MIN,31.0,False
2020-10-04,4,MIA,23.0,SEA,31.0,False
2020-10-04,4,WAS,17.0,BLT,31.0,False
2020-10-04,4,TB,38.0,LAC,31.0,False
2020-10-04,4,LAR,17.0,NYG,9.0,False
2020-10-04,4,LV,23.0,BUF,30.0,False
2020-10-04,4,SF,20.0,PHI,25.0,False
2020-10-05,4,KC,26.0,NE,10.0,False
2020-10-05,4,GB,30.0,ATL,16.0,False
2020-10-08,5,CHI,20.0,TB,19.0,False
2020-10-11,5,ATL,16.0,CAR,23.0,False
2020-10-11,5,BLT,27.0,CIN,3.0,False
2020-10-11,5,NYJ,10.0,ARZ,30.0,False
2020-10-11,5,HST,30.0,JAX,14.0,False
2020-10-11,5,KC,32.0,LV,40.0,False
2020-10-11,5,PIT,38.0,PHI,29.0,False
2020-10-11,5,WAS,10.0,LAR,30.0,False
2020-10-11,5,SF,17.0,MIA,43.0,False
2020-10-11,5,CLV,32.0,IND,23.0,False
2020-10-11,5,DAL,37.0,NYG,34.0,False
2020-10-11,5,SEA,27.0,MIN,26.0,False
2020-10-12,5,NO,30.0,LAC,27.0,False
2020-10-13,5,TEN,42.0,BUF,16.0,False
2020-10-18,6,NE,12.0,DEN,18.0,False
2020-10-18,6,JAX,16.0,DET,34.0,False
2020-10-18,6,MIN,23.0,ATL,40.0,False
2020-10-18,6,CAR,16.0,CHI,23.0,False
2020-10-18,6,IND,31.0,CIN,27.0,False
2020-10-18,6,PIT,38.0,CLV,7.0,False
2020-10-18,6,TEN,42.0,HST,36.0,False
2020-10-18,6,NYG,20.0,WAS,19.0,False
2020-10-18,6,PHI,28.0,BLT,30.0,False
2020-10-18,6,MIA,24.0,NYJ,0.0,False
2020-10-18,6,TB,38.0,GB,10.0,False
2020-10-18,6,SF,24.0,LAR,16.0,False
2020-10-19,6,BUF,17.0,KC,26.0,False
2020-10-19,6,DAL,10.0,ARZ,38.0,False
2020-10-22,7,PHI,22.0,NYG,21.0,False
2020-10-25,7,HST,20.0,GB,35.0,False
2020-10-25,7,TEN,24.0,PIT,27.0,False
2020-10-25,7,ATL,22.0,DET,23.0,False
2020-10-25,7,NYJ,10.0,BUF,18.0,False
2020-10-25,7,NO,27.0,CAR,24.0,False
2020-10-25,7,CIN,34.0,CLV,37.0,False
2020-10-25,7,WAS,25.0,DAL,3.0,False
2020-10-25,7,LV,20.0,TB,45.0,False
2020-10-25,7,DEN,16.0,KC,43.0,False
2020-10-25,7,NE,6.0,SF,33.0,False
2020-10-25,7,LAC,39.0,JAX,29.0,False
2020-10-25,7,ARZ,37.0,SEA,34.0,False
2020-10-26,7,LAR,24.0,CHI,10.0,False
2020-10-29,8,CAR,17.0,ATL,25.0,False
2020-11-01,8,DET,21.0,IND,41.0,False
2020-11-01,8,GB,22.0,MIN,28.0,False
2020-11-01,8,MIA,28.0,LAR,17.0,False
2020-11-01,8,BLT,24.0,PIT,28.0,False
2020-11-01,8,BUF,24.0,NE,21.0,False
2020-11-01,8,CIN,31.0,TEN,20.0,False
2020-11-01,8,CLV,6.0,LV,16.0,False
2020-11-01,8,KC,35.0,NYJ,9.0,False
2020-11-01,8,DEN,31.0,LAC,30.0,False
2020-11-01,8,SEA,37.0,SF,27.0,False
2020-11-01,8,CHI,23.0,NO,26.0,False
2020-11-01,8,PHI,23.0,DAL,9.0,False
2020-11-02,8,NYG,23.0,TB,25.0,False
2020-11-05,9,SF,17.0,GB,34.0,False
